day,day_of_week,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20161023,Sunday,7,0,4,3,0,NA,NA,NA,NA,NA
20161024,Monday,16,9,5,1,1,6,3,2,1,0
20161025,Tuesday,14,8,5,1,0,2,0,0,1,1
20161026,Wednesday,15,9,3,0,3,4,1,1,2,0
20161027,Thursday,12,8,2,2,0,8,4,1,2,1
20161028,Friday,3,3,0,0,0,1,0,1,0,0
20161029,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161030,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161031,Monday,17,10,5,2,0,12,11,0,0,1
20161101,Tuesday,12,6,3,1,2,8,3,3,2,0
20161102,Wednesday,16,12,3,1,0,3,0,3,0,0
20161103,Thursday,13,7,3,3,0,7,1,6,0,0
20161104,Friday,14,8,4,2,0,3,2,0,1,0
20161105,Saturday,1,0,1,0,0,NA,NA,NA,NA,NA
20161106,Sunday,13,0,7,4,2,NA,NA,NA,NA,NA
20161107,Monday,17,7,8,0,2,2,0,0,2,0
20161108,Tuesday,14,9,3,2,0,7,5,1,1,0
20161109,Wednesday,13,5,5,3,0,2,0,0,2,0
20161110,Thursday,16,7,7,2,0,9,5,1,1,2
20161111,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161112,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161113,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161114,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161115,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161116,Wednesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161117,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161118,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161119,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161120,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161121,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
